Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",139.319000,-133.604000,180.000000,top
"C2","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",153.035000,-133.604000,180.000000,top
"C3","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",137.166000,-137.501500,90.000000,top
"C4","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",151.003000,-137.414000,90.000000,top
"J1","SPI1_Conn_01x07","JST_GH_BM07B-GHS-TBT_1x07-1MP_P1.25mm_Vertical",128.778000,-95.504000,-90.000000,top
"J2","PWM_OUT_Conn_01x06","JST_GH_BM06B-GHS-TBT_1x06-1MP_P1.25mm_Vertical",128.976000,-118.364000,-90.000000,top
"J3","ADC1_Conn_01x04","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",134.569200,-57.531000,180.000000,top
"J4","UART1_Conn_01x06","JST_GH_BM06B-GHS-TBT_1x06-1MP_P1.25mm_Vertical",165.862000,-73.152000,90.000000,top
"J5","UART2_Conn_01x06","JST_GH_BM06B-GHS-TBT_1x06-1MP_P1.25mm_Vertical",165.862000,-95.504000,90.000000,top
"J6","UART3_Conn_01x06","JST_GH_BM06B-GHS-TBT_1x06-1MP_P1.25mm_Vertical",165.862000,-118.364000,90.000000,top
"J7","UART4_Conn_01x06","JST_GH_BM06B-GHS-TBT_1x06-1MP_P1.25mm_Vertical",128.778000,-73.152000,-90.000000,top
"J8","CAN1_A_Conn_01x04","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",126.746000,-146.024600,0.000000,top
"J9","CAN2_A_Conn_01x04","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",154.178000,-146.024600,0.000000,top
"J10","CAN2_B_Conn_01x04","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",168.021000,-146.024600,0.000000,top
"J11","CAN1_B_Conn_01x04","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",140.462000,-146.024600,0.000000,top
"J12","Conn_01x02","Molex_CLIK-Mate_502386-0270_1x02-1MP_P1.25mm_Horizontal",159.890000,-57.380000,0.000000,top
"J13","Conn_01x02","JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical",147.620000,-57.400000,0.000000,top
"J14","Conn_01x06_Female","PinSocket_1x06_P2.54mm_Vertical",141.040000,-126.330000,90.000000,top
"J15","Conn_01x06_Female","PinSocket_1x06_P2.54mm_Vertical",141.040000,-113.630000,90.000000,top
"R1","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",147.066000,-137.414000,90.000000,top
"R2","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",160.782000,-137.414000,90.000000,top
"R3","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",144.272000,-137.414000,-90.000000,top
"R4","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",157.988000,-137.414000,-90.000000,top
"R5","5K Ω","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",146.156000,-61.954000,0.000000,top
"R6","330 Ω","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",148.790000,-76.200000,180.000000,top
"U1","NUCLEO144-F767ZI","nucleo144_hat",147.950500,-56.308600,0.000000,top
"U2","TJA1051TK-3","DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm",140.462000,-137.160000,-90.000000,top
"U3","TJA1051TK-3","DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm",154.178000,-137.160000,-90.000000,top
"U4","6N137","DIP-8_W7.62mm",151.320000,-64.780000,-90.000000,top
