Ref,Val,Package,PosX,PosY,Rot,Side
"D1","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",156.464000,-58.420000,90.000000,top
"J1","Screw_Terminal_01x10","TerminalBlock_RND_205-00240_1x10_P5.08mm_Horizontal",100.075000,-101.870000,90.000000,top
"J2","Humidity_01x04_Pin_Socket","PinSocket_1x04_P2.54mm_Vertical",142.025000,-53.000000,0.000000,top
"J3","Temp_Screw_Terminal_01x03","TerminalBlock_RND_205-00233_1x03_P5.08mm_Horizontal",166.449000,-63.241000,-90.000000,top
"J4","Temp_Screw_Terminal_01x03","TerminalBlock_RND_205-00233_1x03_P5.08mm_Horizontal",166.449000,-80.386000,-90.000000,top
"J5","Temp_Screw_Terminal_01x03","TerminalBlock_RND_205-00233_1x03_P5.08mm_Horizontal",151.638000,-102.108000,180.000000,top
"J6","Probe_JST_01x02","JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical",141.986000,-71.120000,-90.000000,top
"J7","Probe_JST_01x02","JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical",141.986000,-78.740000,-90.000000,top
"J8","Probe_JST_01x02","JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical",142.113000,-86.995000,-90.000000,top
"J9","Probe_JST_01x02","JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical",150.622000,-71.120000,-90.000000,top
"J10","Probe_JST_01x02","JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical",150.622000,-78.740000,-90.000000,top
"J11","Probe_JST_01x02","JST_GH_BM02B-GHS-TBT_1x02-1MP_P1.25mm_Vertical",150.622000,-86.995000,-90.000000,top
"Q1","MMBT3906","SOT-23",150.876000,-63.434000,180.000000,top
"R1","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",109.070000,-60.230000,0.000000,top
"R2","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",109.070000,-65.310000,0.000000,top
"R3","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",109.070000,-70.390000,0.000000,top
"R4","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",109.070000,-75.470000,0.000000,top
"R5","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",109.070000,-80.550000,0.000000,top
"R6","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",109.070000,-85.630000,0.000000,top
"R7","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",109.070000,-90.710000,0.000000,top
"R8","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",109.070000,-95.790000,0.000000,top
"R9","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",111.085000,-62.770000,0.000000,top
"R10","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",111.085000,-67.850000,0.000000,top
"R11","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",111.085000,-72.930000,0.000000,top
"R12","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",111.085000,-78.010000,0.000000,top
"R13","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",111.085000,-83.090000,0.000000,top
"R14","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",111.085000,-88.170000,0.000000,top
"R15","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",111.085000,-93.250000,0.000000,top
"R16","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",111.085000,-98.330000,0.000000,top
"R17","240","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",154.432000,-53.594000,180.000000,top
"R18","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",150.368000,-58.674000,180.000000,top
"R19","27k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",156.464000,-63.434000,-90.000000,top
"R20","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",146.050000,-64.389000,0.000000,top
"R21","5k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",146.500000,-96.300000,180.000000,top
"R22","5k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",157.200000,-91.800000,90.000000,top
"R23","5k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",156.900000,-68.400000,-90.000000,top
"R24","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",146.733500,-53.086000,-90.000000,top
"R25","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",150.543500,-53.086000,-90.000000,top
"U1","STM_Blue_Pill","YAAJ_BluePill_1",133.040000,-103.610000,180.000000,top
